phase_step,global_step,training_tokens,learning_rate,loss,loss_text,loss_drift,ce_depth_1,ce_depth_2,ce_depth_3,grad_norm,batch_sha256
11,34254,45056,1.8333333333333335e-06,6.716680526733398,6.716617703437805,0.0012557778682094067,6.711197346448898,6.715213775634766,6.7234416007995605,3.070020914077759,605b4abdd58d8c968ede2292dcca5bf1e6179f602e2dfda1ae1e9598c6435c62
12,34255,49152,2.0000000000000003e-06,6.5986562967300415,6.598589479923248,0.0013338105782167986,6.583678066730499,6.617735385894775,6.594354748725891,2.213982105255127,a70bf16b6c3de631f046bafee79b1aa79f0c362ff825f41ce15297901d66d99f
13,34256,53248,2.166666666666667e-06,6.972257018089294,6.972162663936615,0.0018872145737987012,6.966168463230133,6.976493060588837,6.973825752735138,1.643595814704895,59ae114a5164b0a8d43a492245c44b014c0dc35091a5d982f4446ec798e7926c
14,34257,57344,2.3333333333333336e-06,6.641846656799316,6.641757130622864,0.0017899279337143525,6.625934898853302,6.666891396045685,6.63244491815567,7.138818264007568,92212262b2b0beb9f682a94739ab3f834e92ff8346d28ef4a72597c7300b7f79
15,34258,61440,2.5e-06,6.44842666387558,6.4483397006988525,0.0017385909159202129,6.463419020175934,6.453634202480316,6.427964508533478,2.305576801300049,d9fc0fbe5188b13690827d43dfd047e2524fb5ead229b7e8aab90f366661226e
16,34259,65536,2.666666666666667e-06,6.6924362778663635,6.692357003688812,0.0015851341449888423,6.7162076234817505,6.692378103733063,6.668484330177307,3.306788206100464,5c5823b6bc578c95a24242a977fd375ea8c0aec86df4df7a00060fbb92d0aaeb
17,34260,69632,2.8333333333333335e-06,6.75663423538208,6.7565842270851135,0.0010009142497438006,6.756128251552582,6.7612451910972595,6.75237900018692,1.6330708265304565,6435e9d07196bdfc1adce2dca7d2cdff13ea60418f4482d66a9078fb019886b9
18,34261,73728,3e-06,7.206030368804932,7.205974996089935,0.0011059522221330553,7.19635146856308,7.203198134899139,7.218374669551849,2.5044877529144287,ca097526339440b73f48833f97f51a385a141c0e09e6e33ed9b273aface0cc02
19,34262,77824,3.166666666666667e-06,7.00844806432724,7.008389711380005,0.001165263369330205,7.01555198431015,7.001749157905579,7.007867276668549,2.9140398502349854,dd47528c5628695b0fe1b938f983bf47fd763ad75329b6f20cb1c7986d14e1bb
20,34263,81920,3.3333333333333333e-06,6.531592428684235,6.531519532203674,0.0014580585702788085,6.515600025653839,6.555865108966827,6.523092746734619,9.64572525024414,1cfe0809b3499dbdeae7931a1f17f8c9eba915a7a07f1061a5be4e72a9710b1e
21,34264,86016,3.5000000000000004e-06,6.5054115653038025,6.505345642566681,0.0013184171621105634,6.5044748187065125,6.5012471079826355,6.510314404964447,1.8830161094665527,bbb2520e08c9ffbd7929e6eeda877cef838c1df5d51225f88d858a658f634059
22,34265,90112,3.666666666666667e-06,6.792650520801544,6.792596101760864,0.0010860996699193493,6.774221301078796,6.822440683841705,6.781126499176025,39.12638854980469,165c534edd0a7a2dd2c15b386ca4f35616ccbf10e0dd83e8dea19e38de38d1e7
23,34266,94208,3.833333333333334e-06,6.727997899055481,6.727912604808807,0.001704859983874485,6.718892455101013,6.744188487529755,6.720655739307404,2.82887601852417,a46a5da47ad2d043dd1abc8c1380f23a990f2e1c213c82c79dbe744d41965c86
24,34267,98304,4.000000000000001e-06,6.885208368301392,6.885121285915375,0.001742616921546869,6.875123918056488,6.914199411869049,6.866039752960205,1.810923457145691,05efdb0db20c7ee10d7faa0f4855622470e1fbb8a0b99ede11fe88e644b902b9
25,34268,102400,4.166666666666667e-06,7.029387593269348,7.02931421995163,0.0014676515565952286,7.0290069580078125,7.036471426486969,7.022463500499725,1.4500097036361694,11acaf798dc4cc4e5a376afdc34f2bbabb31d9113778db9629aa1693f62024b5
